1. Kategori Shortbow Pemula Putra (2018) - Jarak 3m
Sumber: 1
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
58,Faristhaa Aurelia Zhafira,Rumah Belajar Archery Club,Samarinda,250
59,TSURAYA ZAHIRAH BURHAN,AL-MAHSYAR NURUL IMAN AR,SAMARINDA,244
60,Zaina Azzahira,Al-Mahsyar Nurul Iman Archery Club,Tenggarong,239
61,Puri Maulida Oktaviani,Rumah Belajar Archery Club,Samarinda,221
62,Azrina Gazala Falihah,Al azzam rimayah club,Sangatta utara,182
9. Kategori Shortbow Pelajar SMA Putra - Jarak 15m
Sumber: 9
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,ABDULAH AKHYAR MUTTAQIN,AL AZHAR ARCHERY,Samarinda,529
2,Dhirgham Haidar arhab,KAC 99,Sanga sanga,510
3,Lathief Akmal EL Azzam,AL AZHAR ARCHERY,Samarinda,499
4,Muhammad Rosyid Fadhilah,Gold Archery Samarinda,Samarinda,497
5,fabian huda,Al-katum Horsebow Academi,Samarinda,488
6,Muhammad Rossi Reyhan,Akademi Horsebow Sejati,Balikpapan,441
7,mubarok,Arrimayah Nurul Islam Horseba,Kukar,438
8,Dhiyaa'ul Fais,BG Archery,Balikpapan,432
9,Alfyan,Arrimayah Nurul Islam Horseba,Kukar,419
10,MUHAMMAD RAFI ILHAM,AL-MAHSYAR NURUL IMAN,TENGGARONG,414
11,ADITYA FARIDZ MAULANA,AL KATUM HORSEBOW ACADE,SAMARINDA,408
12,Arman Maulana,Arrimayah Nurul Islam Horseba,Kukar,398
13,Zadat,Arrimayah Nurul Islam Horseba,Kukar,397
14,Anindyo Almer Dzaky Saswanto,Rumah Belajar Archery Club,Samarinda,390
15,Raffi Ahmad,Arrimayah Nurul Islam Horseba,Kukar,374
16,Zaky Al Fahrizi,Rumah Belajar Archery Club,Samarinda,345
17,Muhammad Dzakky Alkhairy,Al Azzam Rimayah Club,SANGATTA UTARA,329
18,Muhammad Rizky Zailani,AL-Mahsyar Nurul Iman Archery,Tenggarong,326
19,Muhammad Alfian Fadhil,AL AZHAR ARCHERY,Samarinda,323
20,Furqon Ardian Noor,Spagrat Archey,Balikpapan,292
21,MUHAMMAD ALVARIZAM ANNABI,SMP ISLAMIC CENTER,Samarinda,265
22,Muhammad Afgan Al-Farizi,SD Muhammadiyah 4,Samarinda,203
23,Khidhir Helmi,Madina archery,Samarinda,196
24,HARIS ABIDUS SHOLEHUDIN,AL-MAHSYAR NURUL IMAN AR,TENGGARONG,185
25,TEGAR DWI PRASETYA,AL-MAHSYAR NURUL IMAN AR,SAMARINDA,174
26,Ahmad Fikri Khoirullah,Madina archery,Samarinda,147
27,Farras wiraditya Pradana,Akademi Horsebow Sejati,Balikpapan,0
10. Kategori Shortbow Pelajar SMA Putri - Jarak 15m
Sumber: 10
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,AISYAH ARSAA RABBANI,Waqqash Archery Bontang,Bontang,530
2,Denayu Khanza Ashila Nur Arief,Rumah Belajar Archery Club,Samarinda,503
3,Aisha Labiba Trisnaputra,NFH ARCHERY,Samarinda,493
4,Asya Alika Ramadhan,Rumah Belajar Archery Club,Samarinda,461
5,Aurelia,Ar Rimayah Nurul Islam Horseb,Muara Jawa,421
6,Denayu Kheiza Ashila Nur Arief,Rumah Belajar Archery Club,Samarinda,387
7,Nayla prasasty,Minu Archery,Balikpapan,385
8,Zahra Zylvani Nirwasita,Ma'rifah Archery,Balikpapan,384
9,Naurah Aqilah,Arrimayah Nurul Islam,Muara jawa,383
10,Abidah Nazmi Zarifa,Al-Mahsyar Nurul Iman Archery,Tenggarong,382
11,PUTRI NAYLA HUZNA,AL AZHAR ARCHERY,Samarinda,362
12,Nur Rahma,Spagrat Archery,Balikpapan,359
13,Syifa jamilah muthmainah,Akademi Horsebow Sejati,Balikpapan,353
14,SHALZABILLA PUTRI LAZIM,AL-KATUM HORSEBOW ACADE,Samarinda,351
15,Sabrina Septiana Widya Astuthy,Waqqash Archery Bontang,Bontang,344
16,Alissya Nazwa maulidya,AL-KATUM HORSEBOW ACADE,Samarinda,321
17,Nurazizah,Spagrat Archery,Balikpapan,315
18,MAIZATU SHOFIYYA,AL KATUM HORSEBOW ACADE,Samarinda,302
19,Maritza ratifa azka,Al Izzah Archery,Bontang,299
20,TSURAYA ZAHIRAH BURHAN,AL-MAHSYAR NURUL IMAN AR,Samarinda,297
21,Athifa Utari,Darussalam Archery Club,Samarinda,296
22,Putri Puspithasari,AL-KATUM HORSEBOW ACADE,Samarinda,291
23,Safa Alya Agustina,Ma'rifah Archery,Balikpapan,287
24,Annisa Septiana Ramadhani,Ma'rifah Archery,Balikpapan,266
25,SALWA AQILA OKTAVIA,AL-MAHSYAR NURUL IMAN AR,Samarinda,237
26,DIFA SALSABILLA AZZAHRA,AL-MAHSYAR NURUL IMAN AR,TENGGARONG,235
27,Vanissa Bunga Azhara,Ma'rifah Archery,Balikpapan,229
28,Nurruhama,Nurul Amin,Samarinda,193
29,Puri Maulida Oktaviani,Rumah Belajar Archery Club,Samarinda,175
30,Faristhaa Aurelia Zhafira,Rumah Belajar Archery Club,Samarinda,153
31,Zaina Azzahira,Al-Mahsyar Nurul Iman Archery Club,Tenggarong,145
32,NUR ASIFA SALSA MEILANI,AL-MAHSYAR NURUL IMAN,TENGGARONG,142
33,jihan janeeta gamsir,Nurul Amin,Samarinda,0
34,Khanza luthfiyah indiyani,Sumayyah grand archery,Balikpapan,0
35,Selvira Aulia,Sitti Aminah,Kutai Kartanegara,0
36,,,,0
11. Kategori Shortbow NON Pelajar (Umum) Putra - Jarak 20m
Sumber: 11
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,HARISTANG,Waqqash Archery Bontang,Polmas,521
2,Friyan Ari Kusuma,FAKARCHERY,Samarinda,459
3,Priyo,Gold Archery Samarinda,Samarinda,428
4,Selviansyah,Perdana kaltim,Samarinda,425
5,Didin Wahyudin,Granada Scout Archery Indones,Samarinda,412
6,Muhammad Husin,Gold Archery Samarinda,Samarinda,402
7,BURHANUDDIN,Gold Archery Samarinda,Samarinda,402
8,Abu Zikri,Arrimayah Nurul Islam Horseba,Kukar,370
9,Pandhu Dhitya AA,FAKARCHERY,Samarinda,357
10,Andhi Trisnaputra,NFH ARCHERY,Samarinda,257
11,Siko,Independent,Samarinda,0
12,Achmed FS,Dhiya Rabbany Archery Mu'Mini,Samarinda,0
